folder,frame,caption
L01_V003,001.jpg,a sence in a city with a sunset and a river. there are a lot of boats in the water at sunset
L01_V003,002.jpg,a sence in a news studio with a man and a woman. there are two people sitting at a desk in a news studio
L01_V003,003.jpg,a sence in a news studio with a man and a woman. there are two people standing at a news set with a city in the background
L01_V003,004.jpg,a sence in a red and white striped background with a red and white stripe. there are two red and white stripes on the background
L01_V003,005.jpg,a sence in thai language on a screen with a blue background. there are many logos on the screen of a tv
L01_V003,006.jpg,"a sence in china, the company is holding a check for $ 1, 000. there are three men standing on a stage holding a check"
L01_V003,007.jpg,a sence in a crowded area of a convention with people standing around. there are many people standing around a large exhibit area
L01_V003,008.jpg,a sence in a foreign language is shown with a map. there are white flowers in the foreground of a sign
L01_V003,009.jpg,"a sence in china, a post it note is written on a wall. there are notes on the wall with writing on them"
L01_V003,010.jpg,a sence in a red tie is standing in front of a red background. there are a lot of red and white stripes on this red tie
L01_V003,011.jpg,a sence in a news studio with a man and a woman. there are two people standing in front of a news set
L01_V003,012.jpg,a sence in a news studio with a man and a woman. there are two people standing in front of a news set
L01_V003,013.jpg,a sence in a news studio with a man and a woman. there are two people standing in front of a news set
L01_V003,014.jpg,a sence in a blue background with a blue background and a blue background with a white and. there are many logos on the screen of a tv
L01_V003,015.jpg,a sence in a blue shirt is receiving flowers from a man. there are a group of men standing on a stage with flowers
L01_V003,016.jpg,a sence in a news program presenting a certificate to a group of men. there are a lot of people standing around a man holding a sign
L01_V003,017.jpg,a sence in a large auditorium with a stage and a screen. there are many people standing on stage at a convention
L01_V003,018.jpg,a sence in a tv screen showing a group of people. there are two people on a screen with a blue background
L01_V003,019.jpg,a sence in a black shirt is holding a sign. there are three men standing around a man holding a sign
L01_V003,020.jpg,a sence in a large auditorium with a large screen and a group of people. there are people standing on stage with a large screen behind them
L01_V003,021.jpg,a sence in a group of three men holding up signs. there are three men standing on a stage holding up signs
L01_V003,022.jpg,a sence in a lecture hall with a group of people. there are many people sitting in a lecture hall watching something
L01_V003,023.jpg,a sence in a suit and glasses speaking into a microphone. there are a lot of people in the picture
L01_V003,024.jpg,a sence in a lecture hall with a lot of people sitting at tables. there are many people sitting in the auditorium watching a presentation
L01_V003,025.jpg,a sence in a lecture hall with a lot of people. there are many people sitting in a lecture hall watching something
L01_V003,026.jpg,a sence in a news studio with a tv screen and a man and woman. there are two people on a news set with a city in the background
L01_V003,027.jpg,a sence in a white dress is holding a microphone and a microphone. there are two women that are talking on a news program
L01_V003,028.jpg,a sence in a white dress is holding a tablet and a tv. there are a lot of people on the tv screen watching the show
L01_V003,029.jpg,a sence in a white dress is holding a red purse. there are two people that are standing in front of a tv
L01_V003,030.jpg,a sence in a news program with a picture of a woman holding a book. there are a lot of people that are standing together on the news
L01_V003,031.jpg,a sence in a red and white dress on a stage with a microphone. there are people on stage at a concert with a microphone
L01_V003,032.jpg,a sence in a suit and tie applauding a crowd of people. there are many people sitting in a room clapping and watching something
L01_V003,033.jpg,a sence in a theater watching a show with a lot of people. there are many people sitting in a theater watching a show
L01_V003,034.jpg,a sence in a pink shirt is looking at the camera. there are two women that are talking to each other
L01_V003,035.jpg,a sence in a pink shirt is talking to a reporter. there are two women that are talking to each other
L01_V003,036.jpg,a sence in a white jacket and a necklace is standing in front of a sign. there are two women standing next to a sign with a picture of them
L01_V003,037.jpg,a sence in a white jacket and a necklace is talking to a reporter. there are a lot of people that are talking to each other
L01_V003,038.jpg,a sence in a white jacket and a blue shirt is smiling. there are two women that are talking to each other
L01_V003,039.jpg,a sence in a stage with a group of people on it. there are many people standing on a stage with a microphone
L01_V003,040.jpg,a sence in a yellow dress is holding a bouquet of flowers. there are many people standing together holding flowers and certificates
L01_V003,041.jpg,a sence in a stage with a group of people on it. there are many people on stage at a festival with a banner
L01_V003,042.jpg,a sence in a stage with a group of people on it. there are many people standing on a stage with a banner
L01_V003,043.jpg,a sence in a chinese country performing a song on stage. there are people on stage performing a musical show with a large screen
L01_V003,044.jpg,a sence in a red dress sings a song with a microphone. there are two people that are standing in front of a microphone
L01_V003,045.jpg,a sence in a white shirt and tie holding a red heart. there are a lot of people in this picture that are watching tv
L01_V003,046.jpg,a sence in a white shirt and tie holding a football. there are a lot of people in this picture that are watching a tv
L01_V003,047.jpg,a sence in a white shirt and tie standing in front of a tv screen. there are a lot of people in this picture that are on the news
L01_V003,048.jpg,"a sence in a white dress is holding a red book. there are a lot of news on this day, and there is a woman holding a book"
L01_V003,049.jpg,a sence in a white dress holding a red book. there are a lot of news on this day that is very good
L01_V003,050.jpg,a sence in a crowded area of a convention with people standing around. there are many people standing in a crowded area of a convention
L01_V003,051.jpg,a sence in a green shirt holds a cat in his arms. there are a man holding a cat in his arms
L01_V003,052.jpg,a sence in a green chair holding a white cat. there are people standing around a cat in a green box
L01_V003,053.jpg,a sence in a salon with a cat getting its hair cut. there are a lot of cats that are being groomed by a woman
L01_V003,054.jpg,a sence in a shopping mall is talking to a woman. there are people standing around a table with a stuffed animal
L01_V003,055.jpg,a sence in a green jacket is holding a cat. there are people sitting at a table with a cat and a book
L01_V003,056.jpg,a sence in a shopping mall with a lot of people. there are many people sitting at a table with a lot of books
L01_V003,057.jpg,a sence in a white shirt is holding a white cat. there are a lot of people standing around with a cat
