folder,frame,caption
L01_V002,001.jpg,a sence in a city with a sunset and a city skyline. there are a lot of boats in the water at sunset
L01_V002,002.jpg,a sence in a news studio with a man and a woman. there are two people on a news set with a city in the background
L01_V002,003.jpg,a sence in a news studio with a tv screen and a man and woman. there are two people standing in front of a news set
L01_V002,004.jpg,a sence in a red circle with a black background. there are many dots on a red sphere with a black background
L01_V002,005.jpg,a sence in a red and white striped background with a stop sign. there are two red stop signs with white and red letters
L01_V002,006.jpg,a sence in a city with a lot of traffic and buildings. there are many buses that are driving down the street
L01_V002,007.jpg,a sence in a city with tall buildings and a sky line. there are many tall buildings in the city with a lot of traffic
L01_V002,008.jpg,a sence in a mall with a lot of people walking around. there are people walking around a mall with many shops
L01_V002,009.jpg,a sence in a group of four pictures of a man in a suit and tie. there are four pictures of a man in a suit and tie
L01_V002,010.jpg,a sence in a red and white striped background with a red and white stripe. there are two men standing next to each other on a red and white background
L01_V002,011.jpg,a sence in a news studio with a man and a woman. there are two people standing in front of a tv set
L01_V002,012.jpg,a sence in a blue dress and a man in a white shirt and tie. there are two people standing next to each other on a news set
L01_V002,013.jpg,a sence in a news program with a woman and a man. there are two people standing in front of a tv screen
L01_V002,014.jpg,a sence in a city with a lot of traffic and a lot of people. there are many cars on the street in this city
L01_V002,015.jpg,a sence in a city with a clock tower and a sky background. there are motorcycles parked in front of a building with a clock tower
L01_V002,016.jpg,a sence in a city with a large building with a clock on it. there are people standing outside of a building with a sign
L01_V002,017.jpg,"a sence in china, a statue of angels on a building. there are two statues on top of a building with a flag"
L01_V002,018.jpg,a sence in a news program shows a damaged building. there are a lot of cracks in the corner of a building
L01_V002,019.jpg,a sence in a market with people shopping and eating. there are many people walking through a market with many items
L01_V002,020.jpg,a sence in a building with a yellow wall and a red roof. there are a lot of yellow paint on the side of a building
L01_V002,021.jpg,a sence in a cave with a stone wall and a wooden beam. there are two giraffes that are standing in a zoo
L01_V002,022.jpg,a sence in a room with a brick wall and a wooden floor. there are a lot of dirt on the roof of a house
L01_V002,023.jpg,a sence in a corner of a room with a broken wall. there are a couple of bananas that are on a wall
L01_V002,024.jpg,a sence in a foreign language is shown in this image. there are many cars that are parked on the street
L01_V002,025.jpg,a sence in a large auditorium with a stage and a crowd. there are people standing in a large auditorium with a stage
L01_V002,026.jpg,a sence in a city with a lot of traffic and people on motorcycles. there are many cars and motorcycles driving down the street
L01_V002,027.jpg,a sence in a market with people shopping and looking at clothing. there are many people walking through a market with many items
L01_V002,028.jpg,"a sence in a blue dress is holding a book. there are a lot of news in this picture, including a news anchor"
L01_V002,029.jpg,a sence in a blue dress is holding a book. there are a lot of people in this picture that are watching the news
L01_V002,030.jpg,"a sence in a blue dress holding a red box in front of a city. there are a lot of news in this picture, including a woman"
L01_V002,031.jpg,a sence in a city with tall buildings and a sky background. there are many tall buildings in the city with a sky background
L01_V002,032.jpg,a sence in a mall with a man on a phone. there are people walking down the escalator in a mall
L01_V002,033.jpg,a sence in a clothing store looking at a pink top. there are two women in a store looking at clothes
L01_V002,034.jpg,a sence in a clothing store with a lot of people shopping. there are many people in a clothing store looking at clothes
L01_V002,035.jpg,a sence in a mall with people walking around and shopping. there are many people walking around a mall with many shops
L01_V002,036.jpg,a sence in a restaurant with a family eating and drinking. there are people sitting at a table eating food together
L01_V002,037.jpg,a sence in a mall with people sitting on benches and walking. there are people sitting on benches in a mall with a mask on
L01_V002,038.jpg,a sence in a mall with people standing around and sitting. there are people standing in a mall waiting for their food
L01_V002,039.jpg,a sence in a white jacket and blue shirt is talking to a reporter. there are a lot of people in this picture that are talking
L01_V002,040.jpg,a sence in a white jacket and blue shirt is talking to a reporter. there are two people that are talking to each other in a news program
L01_V002,041.jpg,a sence in a shopping mall with a group of people. there are people standing outside of a store talking to each other
L01_V002,042.jpg,a sence in a mall with people walking around and shopping. there are people walking in a mall with a lot of jewelry
L01_V002,043.jpg,a sence in a store with a man holding a shoe. there are people standing in a store looking at shoes
L01_V002,044.jpg,a sence in a mall with a lot of people standing around. there are many people standing outside of a store with a sign
L01_V002,045.jpg,a sence in a mall with a lot of people walking around. there are people walking in a mall with many bags on display
L01_V002,046.jpg,a sence in a mall with people eating and drinking. there are many people eating at the long table in the restaurant
L01_V002,047.jpg,a sence in a white shirt and tie is standing in front of a city. there are a lot of people in this picture that are watching the news
L01_V002,048.jpg,a sence in a white shirt and tie is standing in front of a city. there are a lot of people in this picture that are watching tv
L01_V002,049.jpg,a sence in the foggy forest with trees and fog. there are trees that are in the fog in the woods
L01_V002,050.jpg,a sence in a news program shows a man walking down a street. there are two people walking down a street in a tunnel
L01_V002,051.jpg,a sence in the woods with fog and trees. there are trees in the woods with fog and fog
L01_V002,052.jpg,a sence in a video posted on the tv shows a fire hydrant. there are a lot of sticks and sticks in the woods
L01_V002,053.jpg,a sence in a video posted on the thai tv channel. there are many trees that have fallen down on the ground
L01_V002,054.jpg,a sence in a video posted on the news channel shows a pile of trees that fell down. there are many trees that have fallen down on the ground
L01_V002,055.jpg,a sence in a forest with a slide and a tree. there are two deers that are standing in the grass
L01_V002,056.jpg,a sence in a forest with a tree that has fallen down. there are a lot of trees that have fallen down in the woods
L01_V002,057.jpg,"a sence in a blue dress holding a red folder. there are a lot of news in this picture, and there is a woman holding a folder"
L01_V002,058.jpg,a sence in a blue dress is holding a red book. there are a lot of people in this picture that are watching the news
L01_V002,059.jpg,a sence in a boat with a group of people on it. there are three people sitting in a boat at night
L01_V002,060.jpg,a sence in a boat with a man sitting on the front of it. there are two people sitting on a boat in the water
L01_V002,061.jpg,a sence in a boat with a dog on the back of it. there are people on a boat at night on the water
L01_V002,062.jpg,a sence in a boat at night with a man sitting on the front. there are two people sitting on a boat in the water
L01_V002,063.jpg,a sence in a boat at night with a woman sitting on the boat. there are two people sitting on a boat in the dark
L01_V002,064.jpg,a sence in a red vest is hanging from a tree. there are two men in orange vests standing next to a tree
L01_V002,065.jpg,a sence in a black shirt is pulling a rope. there are two men standing on a boat in the water
L01_V002,066.jpg,a sence in a red background with a red light. there are many red and black images on this red background
L01_V002,067.jpg,a sence in a white shirt and tie standing in front of a city. there are two men in a news program with a city in the background
L01_V002,068.jpg,a sence in a white shirt and tie standing in front of a city. there are two men in a tv news program with a city in the background
L01_V002,069.jpg,a sence in a large circular building with a large circular structure. there are a lot of people that are standing around a large building
L01_V002,070.jpg,a sence in a tower with a man on it. there are two people on a tower that is being filmed
L01_V002,071.jpg,a sence in a news program on the construction of a building. there are cranes that are standing on top of a building
L01_V002,072.jpg,a sence in a large concrete structure with a crane in the background. there are people standing in a large circular structure with a sign
L01_V002,073.jpg,"a sence in china, a large gas tank is being installed. there are a lot of tanks that are in the middle of a city"
L01_V002,074.jpg,a sence in a white shirt and tie stands at a podium with flowers. there are a man standing at a podium with a bouquet of flowers
L01_V002,075.jpg,a sence in a conference room with a large group of people. there are many people sitting at tables in a conference room
L01_V002,076.jpg,a sence in a white shirt and red tie sitting in front of a group of men. there are many men sitting at a table with laptops
L01_V002,077.jpg,a sence in a harbor with a large ship in the water. there are many tanks in the water next to a large ship
L01_V002,078.jpg,a sence in a large industrial area with a river running through it. there are many buildings that are next to a river
L01_V002,079.jpg,a sence in a video posted by a man who is standing on a bridge. there are tanks that are sitting in the middle of a large city
L01_V002,080.jpg,a sence in a large industrial area with a large tank. there are many tanks that are sitting in the middle of a field
