folder,frame,caption
L01_V004,001.jpg,a sence in a city with a sunset and a river. there are a lot of boats in the water at sunset
L01_V004,002.jpg,a sence in a news studio with a tv screen and a man and woman. there are two people standing on a news set with a city in the background
L01_V004,003.jpg,a sence in a news studio with a tv screen and a red carpet. there are two people standing on a news set with a city in the background
L01_V004,004.jpg,a sence in a red sphere with a black background. there are people standing in front of a red globe with a map of the world in the background
L01_V004,005.jpg,a sence in a city with a river running through it. there are many buildings along the river in this city
L01_V004,006.jpg,a sence in a collage of photos of people in a building. there are many pictures of people in a photo collage
L01_V004,007.jpg,a sence in a red and white background with a red and white stripe. there are two red and white striped objects on a red and white background
L01_V004,008.jpg,a sence in a news studio with a man and a woman. there are two people standing in front of a tv screen
L01_V004,009.jpg,a sence in a news studio with a woman and a man. there are two people standing in front of a tv screen
L01_V004,010.jpg,a sence in a white shirt and tie standing next to a woman in a white dress. there are two people standing in front of a tv screen
L01_V004,011.jpg,a sence in a white shirt and tie is holding a red card. there are two people standing in front of a tv screen
L01_V004,012.jpg,a sence in the middle of a river with a city in the background. there are many buildings along the river in this city
L01_V004,013.jpg,"a sence in vie thang, vietnam, is putting out a ban on the river. there are a lot of buildings along the river in this city"
L01_V004,014.jpg,"a sence in vietnam, a map of the city of hanoi. there are two pictures of a river and a city from a satellite view"
L01_V004,015.jpg,a sence in a city with a lot of tall buildings. there are many buildings in the city with a sky background
L01_V004,016.jpg,a sence in a city with a large pool and a lot of buildings. there are a lot of buildings and a pool in the middle of the city
L01_V004,017.jpg,"a sence in china, china, china, china, china, china, china, china. there are a lot of buildings in the city at night"
L01_V004,018.jpg,a sence in a car driving down a road with trees. there are a lot of trees on the side of the road
L01_V004,019.jpg,a sence in a city street with a motorcycle and a person on a bike. there are a lot of trees on the side of the road
L01_V004,020.jpg,a sence in a city street with a person riding a bike. there are many people walking down the street in the daytime
L01_V004,021.jpg,a sence in a car driving down a street with a person on a bike. there are a lot of people on the street riding bikes
L01_V004,022.jpg,a sence in a tropical country with a thatched roof and a sign. there are a lot of trees and bushes in the street
L01_V004,023.jpg,a sence in a blurry photo of a person riding a motorcycle down a road. there are two people riding motorcycles down a narrow road
L01_V004,024.jpg,a sence in a white shirt and tie is holding a tablet. there are a lot of people in this picture that are watching tv
L01_V004,025.jpg,a sence in a white shirt and tie standing in front of a city. there are a lot of people in this picture that are watching a tv
L01_V004,026.jpg,a sence in a white shirt and tie is holding a tablet. there are a lot of people in this picture that are watching tv
L01_V004,027.jpg,a sence in a hat is looking at a field of yellow flowers. there are many yellow flowers in the field and a man in a hat
L01_V004,028.jpg,a sence in a green shirt and hat walks through a field of flowers. there are many potted plants in the middle of a field
L01_V004,029.jpg,a sence in a group of people standing around a line of people. there are many people standing around a group of people playing a game
L01_V004,030.jpg,a sence in a red shirt is walking through a line of people. there are people standing around a track with a sign that says phong an ngh cac
L01_V004,031.jpg,a sence in a red dress is dancing with other people. there are people walking down the street with a red banner
L01_V004,032.jpg,a sence in a group of children sitting on the ground eating food. there are many children sitting on the floor eating food
L01_V004,033.jpg,"a sence in a village in vietnam, a woman is making a cake. there are people sitting on the ground with a cake in front of them"
L01_V004,034.jpg,a sence in a red shirt is sitting on the ground with other people. there are three girls sitting on the ground with a sign
L01_V004,035.jpg,a sence in a red shirt is sitting on the ground. there are many people sitting on the ground with a yellow bear
L01_V004,036.jpg,a sence in a red and yellow uniform is playing with a ball. there are many people in red and yellow uniforms playing with a ball
L01_V004,037.jpg,a sence in a white suit is holding a piece of paper. there are a lot of people in this picture that are on the news
L01_V004,038.jpg,a sence in a white suit holding a red book. there are a lot of people in this picture that are watching the news
L01_V004,039.jpg,a sence in a white suit is holding a tablet computer. there are a lot of people in this picture are watching a news program
L01_V004,040.jpg,a sence in a tv program with a blue background. there are a lot of people watching a tv show on the screen
L01_V004,041.jpg,a sence in a purple shirt holding a bouquet of flowers. there are a woman holding a bouquet of flowers on a news program
L01_V004,042.jpg,a sence in a large auditorium with a large audience. there are many people sitting at tables in a large room
L01_V004,043.jpg,a sence in a blue dress is presenting a plaque to a woman. there are two women and a man standing at a podium
L01_V004,044.jpg,a sence in a suit shaking hands with a woman in a blue dress. there are people standing around a man giving a woman a gift
L01_V004,045.jpg,a sence in a group of people holding up certificates on a stage. there are many people standing on a stage holding certificates
L01_V004,046.jpg,a sence in a white dress is presenting a plaque to a woman. there are three people standing on a stage with a plaque
L01_V004,047.jpg,a sence in a white dress is being presented by a man. there are three people standing on a stage with a man and woman
L01_V004,048.jpg,a sence in a white dress is presenting a certificate to a man and woman. there are two people standing on stage with a plaque
L01_V004,049.jpg,a sence in a news program with a man and a woman. there are two people standing in front of a tv screen
L01_V004,050.jpg,a sence in a news program with a man and a woman. there are two asian people standing in front of a tv
L01_V004,051.jpg,a sence in a news program with a woman and a man. there are two asian people standing in front of a tv
L01_V004,052.jpg,a sence in a news program with a woman and a man. there are two people standing in front of a news set
L01_V004,053.jpg,a sence in a village with a lot of water and a lot of clothes hanging on the. there are many boats that are floating in the water
L01_V004,054.jpg,a sence in a white shirt standing in front of a bush. there are two men standing in front of a bush with a tv screen
L01_V004,055.jpg,a sence in a village with a boat full of people. there are people in a boat on the water near a building
L01_V004,056.jpg,a sence in a red hat is standing in a line. there are many people in the boat with hats on
L01_V004,057.jpg,a sence in a blue shirt standing in front of a bush. there are two men standing in front of a bush with a tv screen
L01_V004,058.jpg,a sence in a hut with a woman and a child preparing food. there are two women sitting on a bench preparing food together
L01_V004,059.jpg,a sence in a uniform is talking to a boy in a life jacket. there are two boys standing next to each other in front of a building
L01_V004,060.jpg,a sence in a green suit and hat is standing next to a pole. there are two children standing next to a pole with kites
L01_V004,061.jpg,a sence in a green uniform is holding a orange object. there are children playing with orange frisbees in a fenced area
L01_V004,062.jpg,a sence in orange vests standing next to a woman in blue shorts. there are two people in life jackets standing next to each other
L01_V004,063.jpg,a sence in a village with a child pushing a cart. there are two children walking down the street with a baby carriage
